chr	start	end	strand	symbol	id
9	78257129	78269166	+	Gm3776	ENSMUSG00000111709
3	32260333	32261104	+	Gm37770	ENSMUSG00000103643
3	59483024	59483288	+	Gm37771	ENSMUSG00000104038
1	127242091	127243484	+	Gm37772	ENSMUSG00000104039
3	118526151	118528270	+	Gm37773	ENSMUSG00000104033
18	61934976	61935220	-	Gm37774	ENSMUSG00000104035
1	149435015	149437327	-	Gm37775	ENSMUSG00000104036
3	65678386	65680882	+	Gm37776	ENSMUSG00000104037
1	140266487	140269852	+	Gm37777	ENSMUSG00000102698
3	94079913	94080102	+	Gm37778	ENSMUSG00000102696
1	105887633	105891012	-	Gm37779	ENSMUSG00000102690
2	13161751	13163623	-	Gm37780	ENSMUSG00000102691
1	123457234	123460451	-	Gm37781	ENSMUSG00000102521
10	76983224	76983901	-	Gm37782	ENSMUSG00000102522
1	194650319	194652174	+	Gm37783	ENSMUSG00000102523
3	69963282	69963470	+	Gm37784	ENSMUSG00000102525
1	185329451	185331858	+	Gm37785	ENSMUSG00000102526
10	40219583	40222807	-	Gm37786	ENSMUSG00000102632
1	171634879	171636022	+	Gm37787	ENSMUSG00000103219
1	157347339	157350043	-	Gm37788	ENSMUSG00000102326
1	103724345	103727233	+	Gm37789	ENSMUSG00000102325
14	19016757	19024593	+	Gm3778	ENSMUSG00000114435
2	156846370	156849715	-	Gm37790	ENSMUSG00000102323
1	7591646	7591931	+	Gm37791	ENSMUSG00000102320
1	32539028	32542440	+	Gm37792	ENSMUSG00000102321
Y	25341710	25342404	+	Gm37793	ENSMUSG00000102328
4	150068539	150070997	+	Gm37795	ENSMUSG00000102813
1	142755193	142755326	+	Gm37796	ENSMUSG00000102818
18	44116263	44119567	+	Gm37797	ENSMUSG00000110628
Y	25845560	25848910	+	Gm37798	ENSMUSG00000104412
1	136541605	136555873	+	Gm37799	ENSMUSG00000104414
1	184610280	184629473	-	Gm37800	ENSMUSG00000103308
3	4766098	4766371	+	Gm37801	ENSMUSG00000103306
1	156856217	156858859	-	Gm37802	ENSMUSG00000103303
3	147404519	147409076	-	Gm37803	ENSMUSG00000103302
12	86069173	86069779	+	Gm37804	ENSMUSG00000103301
9	95407461	95408554	+	Gm37805	ENSMUSG00000103755
3	77564956	77571342	-	Gm37806	ENSMUSG00000103849
3	93969138	93969327	+	Gm37807	ENSMUSG00000103841
Y	26208875	26209897	+	Gm37808	ENSMUSG00000103842
1	160913472	160914402	+	Gm37809	ENSMUSG00000103846
2	13009886	13012486	+	Gm37811	ENSMUSG00000102900
9	91270930	91273404	-	Gm37812	ENSMUSG00000102814
3	13288197	13291891	+	Gm37813	ENSMUSG00000102815
2	4138984	4142627	+	Gm37814	ENSMUSG00000102816
15	20239299	20240650	-	Gm37815	ENSMUSG00000102810
4	119295028	119295461	-	Gm37817	ENSMUSG00000102819
11	18884623	18887791	-	Gm37818	ENSMUSG00000104184
3	49137463	49138527	+	Gm37819	ENSMUSG00000104186
14	61683510	61685656	+	Gm37820	ENSMUSG00000104187
1	39048648	39057637	-	Gm37821	ENSMUSG00000104188
3	66086684	66087792	+	Gm37822	ENSMUSG00000104189
2	13004365	13007600	+	Gm37824	ENSMUSG00000104459
16	58316785	58319071	-	Gm37825	ENSMUSG00000104456
3	50029669	50029990	+	Gm37826	ENSMUSG00000104457
7	36733017	36734558	+	Gm37827	ENSMUSG00000104454
18	55339512	55339943	+	Gm37828	ENSMUSG00000104455
7	81530309	81532521	-	Gm37829	ENSMUSG00000104453
13	100872780	100876195	+	Gm37830	ENSMUSG00000104450
3	10646316	10648102	+	Gm37831	ENSMUSG00000104451
3	11044170	11044358	-	Gm37832	ENSMUSG00000081537
9	88980921	88984176	+	Gm37833	ENSMUSG00000103581
3	31954764	31957798	+	Gm37834	ENSMUSG00000103539
3	45690544	45690904	-	Gm37835	ENSMUSG00000103534
3	16078150	16078324	-	Gm37836	ENSMUSG00000103535
9	82028580	82029183	+	Gm37837	ENSMUSG00000103536
12	114188689	114189000	-	Gm37838	ENSMUSG00000103537
1	169328529	169347632	-	Gm37839	ENSMUSG00000103530
Y	23757634	23760872	-	Gm37840	ENSMUSG00000103589
6	41496929	41497304	+	Gm37841	ENSMUSG00000102616
9	56263599	56265167	+	Gm37842	ENSMUSG00000102617
3	50918887	50921525	-	Gm37843	ENSMUSG00000102614
8	15024326	15028422	-	Gm37844	ENSMUSG00000102615
1	34753123	34753477	+	Gm37845	ENSMUSG00000102612
3	42163865	42167638	+	Gm37846	ENSMUSG00000102610
14	69502600	69504096	+	Gm37847	ENSMUSG00000102611
1	158548864	158551966	-	Gm37848	ENSMUSG00000102618
1	186711218	186713098	-	Gm37849	ENSMUSG00000102619
9	107762808	107763587	+	Gm37850	ENSMUSG00000102899
2	11332825	11333713	+	Gm37851	ENSMUSG00000102894
10	118004938	118005287	+	Gm37852	ENSMUSG00000102896
1	164640953	164698233	-	Gm37853	ENSMUSG00000102897
3	50001972	50010783	+	Gm37854	ENSMUSG00000102892
3	87157693	87162455	+	Gm37855	ENSMUSG00000102893
1	165845087	165846085	-	Gm37856	ENSMUSG00000103768
3	93393698	93394896	+	Gm37857	ENSMUSG00000103765
1	177635707	177636937	-	Gm37858	ENSMUSG00000103767
3	108532648	108534820	-	Gm37859	ENSMUSG00000103761
13	65125878	65126079	+	Gm3785	ENSMUSG00000114162
1	165467500	165468533	+	Gm37860	ENSMUSG00000103763
1	158375936	158378804	+	Gm37861	ENSMUSG00000103762
1	25325866	25328398	-	Gm37862	ENSMUSG00000102407
1	53791201	53792657	+	Gm37863	ENSMUSG00000102405
1	165451555	165454629	-	Gm37864	ENSMUSG00000102401
Y	17804545	17806904	-	Gm37865	ENSMUSG00000102400
2	9630646	9631341	-	Gm37866	ENSMUSG00000104276
3	28852033	28854257	-	Gm37867	ENSMUSG00000104275
1	128143614	128146348	+	Gm37868	ENSMUSG00000102179
11	18436242	18436836	+	Gm37869	ENSMUSG00000102178
5	117294029	117294406	-	Gm3786	ENSMUSG00000106829
Y	13423453	13426687	-	Gm37870	ENSMUSG00000102177
9	75666652	75667339	+	Gm37871	ENSMUSG00000102176
13	52019774	52021927	-	Gm37872	ENSMUSG00000102173
1	160648023	160650302	-	Gm37873	ENSMUSG00000102172
Y	25590418	25593655	-	Gm37875	ENSMUSG00000102576
3	86768071	86778653	-	Gm37876	ENSMUSG00000104108
1	99847984	99850692	+	Gm37877	ENSMUSG00000104104
6	41021243	41021884	-	Gm37878	ENSMUSG00000104105
9	71939591	71941585	-	Gm37879	ENSMUSG00000104107
15	77369494	77371010	-	Gm3787	ENSMUSG00000116284
1	25362564	25365820	-	Gm37880	ENSMUSG00000104100
2	11683126	11683546	+	Gm37881	ENSMUSG00000104101
3	94122819	94123014	-	Gm37882	ENSMUSG00000102949
6	4483474	4484198	-	Gm37883	ENSMUSG00000102946
1	78375614	78376431	+	Gm37884	ENSMUSG00000102945
1	182484179	182492473	+	Gm37885	ENSMUSG00000102234
1	79619522	79621034	-	Gm37886	ENSMUSG00000102235
1	195220051	195222766	-	Gm37887	ENSMUSG00000102236
3	22812207	22812457	+	Gm37889	ENSMUSG00000102233
3	86672033	86672168	-	Gm3788	ENSMUSG00000094392
3	154921296	154925287	+	Gm37890	ENSMUSG00000102238
2	14966198	14967523	+	Gm37891	ENSMUSG00000104271
3	80202492	80205598	-	Gm37892	ENSMUSG00000103929
1	151445305	151447741	+	Gm37893	ENSMUSG00000103928
2	14037825	14040423	-	Gm37894	ENSMUSG00000103926
1	25775757	25780306	-	Gm37895	ENSMUSG00000103924
1	187447877	187462664	+	Gm37896	ENSMUSG00000103923
3	76546691	76550251	+	Gm37897	ENSMUSG00000103920
Y	20537098	20537625	+	Gm37898	ENSMUSG00000103005
12	109668869	109677585	+	Gm37899	ENSMUSG00000102657
X	108405688	108406768	+	Gm378	ENSMUSG00000082354
4	22408291	22412095	+	Gm37900	ENSMUSG00000103000
3	72603835	72604348	-	Gm37901	ENSMUSG00000103078
1	80274731	80276413	-	Gm37902	ENSMUSG00000103076
1	137528850	137531230	-	Gm37903	ENSMUSG00000103070
1	166798528	166798839	-	Gm37904	ENSMUSG00000103073
1	33748007	33748347	+	Gm37905	ENSMUSG00000103072
1	30865504	30868538	-	Gm37906	ENSMUSG00000104315
13	114227111	114237432	+	Gm37907	ENSMUSG00000104314
10	84061758	84062227	+	Gm37908	ENSMUSG00000104317
1	36473952	36476110	+	Gm37909	ENSMUSG00000104316
14	103948096	103949811	+	Gm37910	ENSMUSG00000104311
1	32496444	32497988	+	Gm37911	ENSMUSG00000104313
1	186964528	186967603	-	Gm37912	ENSMUSG00000104312
3	93306468	93309011	+	Gm37913	ENSMUSG00000103273
1	86120883	86123561	+	Gm37914	ENSMUSG00000103272
1	40771385	40785343	+	Gm37915	ENSMUSG00000103270
1	176179201	176181635	+	Gm37916	ENSMUSG00000103277
9	98767930	98768321	+	Gm37917	ENSMUSG00000103276
3	7418340	7418459	-	Gm37918	ENSMUSG00000103274
12	83875115	83875882	-	Gm3791	ENSMUSG00000113423
1	121706515	121707263	+	Gm37920	ENSMUSG00000102488
Y	22154579	22155273	+	Gm37921	ENSMUSG00000102486
3	93305015	93305469	+	Gm37922	ENSMUSG00000102485
1	166092415	166092575	+	Gm37923	ENSMUSG00000102484
3	28879812	28883458	+	Gm37924	ENSMUSG00000102482
1	84665189	84669443	-	Gm37925	ENSMUSG00000102481
3	59662858	59665281	+	Gm37926	ENSMUSG00000102480
Y	20603914	20604441	+	Gm37927	ENSMUSG00000102551
3	118530883	118535013	+	Gm37928	ENSMUSG00000104362
1	187662869	187663361	-	Gm37929	ENSMUSG00000103401
1	69770868	69772753	+	Gm37930	ENSMUSG00000103402
1	74307848	74310713	+	Gm37931	ENSMUSG00000103403
1	80255031	80256197	-	Gm37932	ENSMUSG00000103404
3	86142757	86145545	+	Gm37933	ENSMUSG00000103408
1	111833823	111834224	+	Gm37934	ENSMUSG00000102728
1	134454492	134455473	-	Gm37935	ENSMUSG00000102722
1	126070140	126071461	-	Gm37936	ENSMUSG00000102723
Y	17867025	17870364	+	Gm37937	ENSMUSG00000102726
5	124004648	124006151	+	Gm37939	ENSMUSG00000102725
6	56905911	56906582	-	Gm3793	ENSMUSG00000108260
6	28796463	28799713	+	Gm37940	ENSMUSG00000103899
9	86784547	86786855	-	Gm37941	ENSMUSG00000103891
1	193366840	193367467	+	Gm37942	ENSMUSG00000103895
1	156872177	156876120	-	Gm37943	ENSMUSG00000102960
12	113315712	113317877	+	Gm37944	ENSMUSG00000102962
9	102172738	102177104	+	Gm37945	ENSMUSG00000102963
16	43307935	43308281	-	Gm37946	ENSMUSG00000102967
15	61979241	61983302	-	Gm37947	ENSMUSG00000103610
Y	18749156	18752497	-	Gm37948	ENSMUSG00000103612
1	134799895	134801985	-	Gm37949	ENSMUSG00000103614
1	172237291	172238290	+	Gm37950	ENSMUSG00000103617
Y	8251026	8254057	-	Gm37951	ENSMUSG00000103618
Y	23212218	23215455	-	Gm37952	ENSMUSG00000104062
9	101150312	101152195	+	Gm37953	ENSMUSG00000104061
1	131376461	131378531	-	Gm37954	ENSMUSG00000104060
9	72716960	72717171	+	Gm37955	ENSMUSG00000104066
X	103771646	103773655	-	Gm37956	ENSMUSG00000104064
1	67903230	67905532	+	Gm37957	ENSMUSG00000104395
1	34329433	34330307	-	Gm37958	ENSMUSG00000104397
1	84392503	84395399	-	Gm37959	ENSMUSG00000104396
1	177035040	177036936	-	Gm37960	ENSMUSG00000104391
12	113968554	113968852	-	Gm37961	ENSMUSG00000104393
9	101113805	101115838	+	Gm37962	ENSMUSG00000104392
9	108389082	108390205	+	Gm37963	ENSMUSG00000104399
2	67898596	67903500	+	Gm37964	ENSMUSG00000104398
3	29219887	29221248	+	Gm37965	ENSMUSG00000102579
17	54223513	54223838	+	Gm37966	ENSMUSG00000102572
1	86917992	86920656	+	Gm37967	ENSMUSG00000102571
3	51489620	51492820	+	Gm37968	ENSMUSG00000102570
6	72635147	72638555	-	Gm37969	ENSMUSG00000102577
1	122866042	122867773	+	Gm37970	ENSMUSG00000104180
3	80285123	80334595	-	Gm37971	ENSMUSG00000102379
8	44227718	44228545	-	Gm37972	ENSMUSG00000102378
3	79610538	79611826	-	Gm37973	ENSMUSG00000102370
9	107935077	107936394	-	Gm37974	ENSMUSG00000102377
2	11532596	11534694	-	Gm37975	ENSMUSG00000102376
12	113718318	113719231	-	Gm37976	ENSMUSG00000103240
1	59886969	59887689	-	Gm37977	ENSMUSG00000103131
6	28568072	28570986	+	Gm37978	ENSMUSG00000103132
3	19143188	19143899	-	Gm37979	ENSMUSG00000103135
12	89253452	89255361	-	Gm37980	ENSMUSG00000103136
1	171679336	171679870	-	Gm37981	ENSMUSG00000103137
1	167242457	167251492	+	Gm37982	ENSMUSG00000103139
9	72315131	72317136	+	Gm37983	ENSMUSG00000102225
1	180473355	180477087	-	Gm37984	ENSMUSG00000104210
4	12597388	12671843	+	Gm37985	ENSMUSG00000104211
1	183414466	183414848	+	Gm37986	ENSMUSG00000104212
9	91757322	91758146	-	Gm37987	ENSMUSG00000104216
1	4807892	4886770	+	Gm37988	ENSMUSG00000104217
1	83426596	83427398	-	Gm37989	ENSMUSG00000104219
Y	22774088	22774783	+	Gm37990	ENSMUSG00000103795
Y	26180163	26180858	+	Gm37991	ENSMUSG00000103675
9	88985191	88986178	+	Gm37993	ENSMUSG00000103336
1	167185980	167186388	-	Gm37994	ENSMUSG00000103333
6	40026894	40028607	+	Gm37995	ENSMUSG00000103331
3	12384243	12384609	-	Gm37996	ENSMUSG00000103339
19	14658667	14658933	+	Gm37997	ENSMUSG00000103488
Y	19157403	19157855	+	Gm37998	ENSMUSG00000103489
1	32473757	32475565	+	Gm37999	ENSMUSG00000103482
X	108664004	108664891	-	Gm379	ENSMUSG00000093916
3	51867345	51868559	-	Gm38000	ENSMUSG00000103484
3	9496168	9499928	+	Gm38001	ENSMUSG00000103485
3	25184800	25184979	-	Gm38002	ENSMUSG00000102855
Y	17225447	17228678	-	Gm38003	ENSMUSG00000102586
9	108991214	108991570	-	Gm38004	ENSMUSG00000103811
1	10449245	10451989	-	Gm38005	ENSMUSG00000103810
3	143644890	143650953	+	Gm38006	ENSMUSG00000103816
3	8673410	8673722	+	Gm38007	ENSMUSG00000103814
1	9258617	9259134	-	Gm38008	ENSMUSG00000103819
1	153283850	153287190	-	Gm38009	ENSMUSG00000103818
13	65313758	65314311	+	Gm3800	ENSMUSG00000114194
1	86834995	86837778	+	Gm38010	ENSMUSG00000104400
2	33614398	33614676	+	Gm38011	ENSMUSG00000104403
1	61677249	61680277	+	Gm38012	ENSMUSG00000104402
Y	18693357	18696591	+	Gm38013	ENSMUSG00000104407
2	12389872	12392483	-	Gm38014	ENSMUSG00000104406
6	41011181	41011368	-	Gm38015	ENSMUSG00000104408
Y	16614136	16614828	-	Gm38016	ENSMUSG00000103112
Y	24315448	24316142	+	Gm38017	ENSMUSG00000102911
6	41504124	41505654	+	Gm38018	ENSMUSG00000103699
1	140038433	140049029	-	Gm38019	ENSMUSG00000103691
X	103576426	103581101	-	Gm38020	ENSMUSG00000103697
1	86893573	86895132	+	Gm38021	ENSMUSG00000102649
1	193475290	193475692	+	Gm38022	ENSMUSG00000102648
1	8450960	8453491	-	Gm38024	ENSMUSG00000102647
3	31341012	31345280	+	Gm38025	ENSMUSG00000103998
1	128097591	128101470	-	Gm38026	ENSMUSG00000103999
1	34985656	34985890	+	Gm38027	ENSMUSG00000103997
Y	17957447	17960787	+	Gm38028	ENSMUSG00000103994
3	29174838	29176927	+	Gm38029	ENSMUSG00000103992
3	85914643	85915117	+	Gm38030	ENSMUSG00000103993
1	104776114	104779128	+	Gm38031	ENSMUSG00000103991
9	103598576	103600164	-	Gm38032	ENSMUSG00000102441
1	36527534	36528237	-	Gm38033	ENSMUSG00000102845
3	52282241	52284309	+	Gm38034	ENSMUSG00000102844
Y	25153876	25154571	+	Gm38035	ENSMUSG00000102842
1	194677002	194680565	+	Gm38036	ENSMUSG00000102841
1	191820370	191821993	-	Gm38037	ENSMUSG00000102840
1	155855449	155855707	+	Gm38038	ENSMUSG00000103717
1	159928390	159931726	-	Gm38039	ENSMUSG00000103719
3	93064740	93064964	-	Gm38040	ENSMUSG00000104298
3	85152036	85152696	-	Gm38041	ENSMUSG00000104290
8	108737593	108742800	+	Gm38042	ENSMUSG00000104292
1	156583108	156588248	+	Gm38043	ENSMUSG00000104293
3	42585113	42585599	-	Gm38044	ENSMUSG00000104294
14	116750215	116751129	+	Gm38045	ENSMUSG00000104296
1	195259299	195259848	-	Gm38046	ENSMUSG00000104297
3	41648118	41649250	-	Gm38047	ENSMUSG00000102436
1	36029647	36031018	-	Gm38049	ENSMUSG00000102434
1	173849149	173850780	-	Gm38050	ENSMUSG00000102433
1	172781445	172781877	+	Gm38051	ENSMUSG00000102430
1	176854400	176854559	-	Gm38053	ENSMUSG00000103584
Y	21610496	21613843	+	Gm38054	ENSMUSG00000102146
3	51987631	51989847	-	Gm38055	ENSMUSG00000102147
1	55440904	55445930	+	Gm38056	ENSMUSG00000102145
9	71852001	71855203	-	Gm38057	ENSMUSG00000102143
1	64736240	64740607	+	Gm38058	ENSMUSG00000102140
7	49469712	49471710	+	Gm38059	ENSMUSG00000102148
1	160839168	160839631	+	Gm38060	ENSMUSG00000103631
11	31698648	31699012	+	Gm38061	ENSMUSG00000103635
1	80728809	80730664	-	Gm38062	ENSMUSG00000104488
10	63098349	63098690	+	Gm38063	ENSMUSG00000104481
1	188246140	188257885	+	Gm38064	ENSMUSG00000104482
7	143350421	143353912	-	Gm38065	ENSMUSG00000104485
3	30160253	30161886	-	Gm38066	ENSMUSG00000104486
1	131914529	131916439	+	Gm38067	ENSMUSG00000103569
3	148569064	148569603	+	Gm38068	ENSMUSG00000103566
1	11704207	11706350	+	Gm38069	ENSMUSG00000103561
1	40238020	40244499	+	Gm38070	ENSMUSG00000103560
16	77416624	77420001	+	Gm38071	ENSMUSG00000103916
Y	18199139	18202472	+	Gm38072	ENSMUSG00000103917
1	124375578	124379242	-	Gm38073	ENSMUSG00000103914
4	144957155	144958848	-	Gm38074	ENSMUSG00000103911
1	61805221	61806140	+	Gm38075	ENSMUSG00000103002
1	4534837	4535286	-	Gm38076	ENSMUSG00000103003
9	105064777	105068021	+	Gm38077	ENSMUSG00000104344
3	92937681	92938072	+	Gm38078	ENSMUSG00000104364
1	182976276	182976429	+	Gm38079	ENSMUSG00000104367
11	120581670	120582837	+	Gm3807	ENSMUSG00000102881
3	30828565	30828832	-	Gm38080	ENSMUSG00000104361
1	176031079	176032723	-	Gm38081	ENSMUSG00000104363
5	136529596	136536477	-	Gm38082	ENSMUSG00000104369
9	76067449	76070946	+	Gm38083	ENSMUSG00000103354
Y	13091542	13093901	-	Gm38084	ENSMUSG00000103352
2	4103877	4106938	+	Gm38085	ENSMUSG00000102517
3	93724618	93725051	-	Gm38086	ENSMUSG00000102511
11	45189570	45189872	-	Gm38087	ENSMUSG00000103248
3	49604227	49604467	+	Gm38088	ENSMUSG00000103249
1	28569918	28571431	+	Gm38089	ENSMUSG00000103241
1	47433824	47435765	-	Gm38090	ENSMUSG00000103246
9	89259525	89263395	-	Gm38091	ENSMUSG00000103247
8	123408100	123408752	-	Gm38092	ENSMUSG00000103244
1	185744803	185757772	+	Gm38093	ENSMUSG00000103799
Y	19237403	19240380	-	Gm38094	ENSMUSG00000103796
7	143344437	143345838	+	Gm38095	ENSMUSG00000103791
3	83403402	83405790	+	Gm38096	ENSMUSG00000103459
18	37172126	37172564	-	Gm38097	ENSMUSG00000103456
3	52425408	52425648	+	Gm38098	ENSMUSG00000103454
17	31532291	31535460	-	Gm38099	ENSMUSG00000104159
1	186960508	186961513	+	Gm3809	ENSMUSG00000097935
1	175920329	175922225	+	Gm38100	ENSMUSG00000104158
1	176276213	176279769	+	Gm38101	ENSMUSG00000104157
5	123133939	123137695	+	Gm38102	ENSMUSG00000104156
12	56609613	56610476	-	Gm38103	ENSMUSG00000104155
1	176751521	176753415	-	Gm38104	ENSMUSG00000104154
2	14611217	14613837	+	Gm38105	ENSMUSG00000104153
1	73206890	73209423	-	Gm38106	ENSMUSG00000102266
Y	21964371	21965066	+	Gm38107	ENSMUSG00000102262
1	183928405	183929230	+	Gm38108	ENSMUSG00000102743
17	88533027	88533207	+	Gm38109	ENSMUSG00000103075
11	27507625	27508100	-	Gm3810	ENSMUSG00000082243
1	44756942	44758492	+	Gm38110	ENSMUSG00000103071
9	71896713	71899453	-	Gm38111	ENSMUSG00000102939
1	156227093	156227293	-	Gm38113	ENSMUSG00000102932
6	72642854	72644085	-	Gm38114	ENSMUSG00000102931
1	36913601	36916539	-	Gm38115	ENSMUSG00000102930
1	15364302	15365834	+	Gm38116	ENSMUSG00000102937
10	107436421	107437359	-	Gm38117	ENSMUSG00000102934
1	193259616	193261837	-	Gm38118	ENSMUSG00000103089
3	92737651	92739096	-	Gm38119	ENSMUSG00000103084
1	13343563	13348204	-	Gm38120	ENSMUSG00000103085
Y	24127690	24128385	+	Gm38121	ENSMUSG00000103086
1	189639350	189640234	-	Gm38122	ENSMUSG00000103087
12	112347289	112350067	-	Gm38123	ENSMUSG00000103080
3	45269987	45272567	-	Gm38124	ENSMUSG00000103082
1	59801263	59804700	+	Gm38125	ENSMUSG00000104052
1	160755687	160759689	+	Gm38126	ENSMUSG00000104053
Y	18321027	18322074	+	Gm38127	ENSMUSG00000104050
3	44659902	44663151	+	Gm38128	ENSMUSG00000104051
1	88653085	88654845	+	Gm38130	ENSMUSG00000104057
3	4393870	4394299	-	Gm38131	ENSMUSG00000104054
3	52186573	52187957	+	Gm38132	ENSMUSG00000104055
13	102114117	102116035	-	Gm38133	ENSMUSG00000102542
9	108010976	108016608	-	Gm38134	ENSMUSG00000102540
1	38722620	38723121	+	Gm38135	ENSMUSG00000102541
Y	26138802	26142144	+	Gm38136	ENSMUSG00000102547
1	60880338	60881738	+	Gm38137	ENSMUSG00000102549
Y	23611872	23612567	+	Gm38138	ENSMUSG00000102730
3	154656701	154680269	+	Gm38139	ENSMUSG00000103204
1	134096405	134099159	-	Gm38140	ENSMUSG00000102380
10	120310278	120312812	+	Gm38141	ENSMUSG00000102382
1	86826101	86829655	+	Gm38142	ENSMUSG00000102383
7	73948423	73958042	+	Gm38143	ENSMUSG00000102384
15	96700173	96700637	+	Gm38144	ENSMUSG00000102385
Y	16151241	16151933	+	Gm38145	ENSMUSG00000102387
1	177134161	177135453	-	Gm38146	ENSMUSG00000103163
2	24874532	24876329	-	Gm38147	ENSMUSG00000103162
1	3592892	3595903	-	Gm38148	ENSMUSG00000103161
Y	16092783	16112032	-	Gm38149	ENSMUSG00000103167
9	107594440	107594891	+	Gm38150	ENSMUSG00000103164
3	14628952	14629240	-	Gm38151	ENSMUSG00000104249
1	176370155	176373720	-	Gm38152	ENSMUSG00000104248
3	30561658	30562129	-	Gm38153	ENSMUSG00000104243
3	17670688	17671027	+	Gm38154	ENSMUSG00000104242
1	187344970	187377469	-	Gm38155	ENSMUSG00000104245
2	13116176	13118435	-	Gm38156	ENSMUSG00000103360
1	34032100	34033797	+	Gm38157	ENSMUSG00000103364
1	176835724	176836062	+	Gm38158	ENSMUSG00000103367
Y	13335783	13338145	-	Gm38159	ENSMUSG00000104522
3	51482331	51484829	-	Gm38160	ENSMUSG00000102775
1	191132657	191134014	+	Gm38161	ENSMUSG00000102777
1	66775511	66780107	+	Gm38162	ENSMUSG00000102776
9	108584756	108585361	-	Gm38163	ENSMUSG00000102770
1	172088474	172088803	+	Gm38164	ENSMUSG00000102779
18	61691046	61692384	-	Gm38165	ENSMUSG00000102778
3	45775424	45775894	-	Gm38166	ENSMUSG00000102190
6	108594508	108595685	-	Gm38167	ENSMUSG00000102192
Y	19954018	19957248	+	Gm38168	ENSMUSG00000102195
1	180021062	180023600	+	Gm38169	ENSMUSG00000102194
7	11560389	11560821	+	Gm3816	ENSMUSG00000110307
12	72950895	72951710	+	Gm38170	ENSMUSG00000102197
2	11315372	11319874	-	Gm38171	ENSMUSG00000102196
12	60866592	60877295	+	Gm38172	ENSMUSG00000102199
1	33671915	33674228	-	Gm38173	ENSMUSG00000102198
Y	20791345	20794578	+	Gm38174	ENSMUSG00000103829
1	126323635	126324674	-	Gm38177	ENSMUSG00000103824
1	11416918	11419388	+	Gm38178	ENSMUSG00000103825
5	75846089	75848210	+	Gm38180	ENSMUSG00000103684
Y	21686203	21686922	+	Gm38181	ENSMUSG00000102826
18	37823879	37840382	+	Gm38182	ENSMUSG00000102828
Y	16031250	16039572	-	Gm38183	ENSMUSG00000102754
12	115412927	115413123	-	Gm38184	ENSMUSG00000103470
Y	15615108	15615801	-	Gm38185	ENSMUSG00000103666
3	59344271	59351167	+	Gm38186	ENSMUSG00000103668
1	146477647	146482355	-	Gm38187	ENSMUSG00000102403
1	191077825	191078680	-	Gm38188	ENSMUSG00000103576
1	149410723	149412179	-	Gm38189	ENSMUSG00000102309
1	165230371	165235125	-	Gm38190	ENSMUSG00000102302
13	71068480	71071726	-	Gm38191	ENSMUSG00000102303
9	73024293	73026139	+	Gm38192	ENSMUSG00000102305
1	195321283	195323493	+	Gm38194	ENSMUSG00000102307
3	77702888	77704386	-	Gm38195	ENSMUSG00000102872
3	30225573	30227694	-	Gm38197	ENSMUSG00000102460
1	25735389	25738969	-	Gm38198	ENSMUSG00000102465
7	40077405	40080681	-	Gm38199	ENSMUSG00000102464
X	126905581	126907617	-	Gm381	ENSMUSG00000082772
3	51557542	51559652	-	Gm38200	ENSMUSG00000102466
3	92843297	92843683	-	Gm38201	ENSMUSG00000102469
12	113745520	113745889	-	Gm38203	ENSMUSG00000103446
1	170973373	170977746	+	Gm38204	ENSMUSG00000103676
12	113767840	113768220	-	Gm38205	ENSMUSG00000103604
3	93638044	93641548	+	Gm38207	ENSMUSG00000104470
3	59736746	59736859	-	Gm38208	ENSMUSG00000104471
Y	18629784	18633125	-	Gm38209	ENSMUSG00000104472
1	165585183	165585991	+	Gm38210	ENSMUSG00000104474
1	45485836	45493052	-	Gm38211	ENSMUSG00000104476
1	108417077	108419832	+	Gm38212	ENSMUSG00000104478
1	157621964	157622136	-	Gm38213	ENSMUSG00000103962
9	88680939	88681926	-	Gm38214	ENSMUSG00000103967
9	73132689	73134921	+	Gm38215	ENSMUSG00000103556
1	7728861	7730565	-	Gm38216	ENSMUSG00000103557
9	34521755	34522664	+	Gm38217	ENSMUSG00000103552
1	66821226	66825914	-	Gm38218	ENSMUSG00000103553
17	71391838	71393284	-	Gm38220	ENSMUSG00000103558
2	148889924	148890288	-	Gm38221	ENSMUSG00000103559
1	13289812	13290506	-	Gm38223	ENSMUSG00000102639
1	21234722	21236821	+	Gm38224	ENSMUSG00000102633
18	36952651	36953043	-	Gm38225	ENSMUSG00000102634
9	98771105	98771625	+	Gm38226	ENSMUSG00000103949
3	96263785	96265386	+	Gm38227	ENSMUSG00000103940
1	43560273	43561565	+	Gm38228	ENSMUSG00000103945
Y	24640852	24641547	+	Gm38229	ENSMUSG00000103311
5	66214747	66217681	+	Gm3822	ENSMUSG00000107125
9	86684050	86685208	-	Gm38230	ENSMUSG00000102259
10	37129744	37130090	+	Gm38231	ENSMUSG00000103299
5	138725395	138726185	+	Gm38232	ENSMUSG00000103298
3	65615368	65616174	-	Gm38233	ENSMUSG00000103294
15	21180157	21180577	+	Gm38234	ENSMUSG00000103296
1	106219314	106224265	+	Gm38235	ENSMUSG00000103291
2	68906003	68909231	+	Gm38236	ENSMUSG00000103747
3	50598069	50598444	-	Gm38237	ENSMUSG00000103745
1	152292183	152292528	-	Gm38238	ENSMUSG00000103744
1	129283107	129285593	+	Gm38240	ENSMUSG00000103742
